code,board_code,industry
000725,801080,电子
002049,801080,电子
600745,801080,电子
002371,801080,电子
603986,801080,电子
603501,801080,电子
002138,801080,电子
603160,801080,电子
300223,801080,电子
002463,801080,电子
300433,801080,电子
002475,801080,电子
300308,801080,电子
300782,801080,电子
600276,801150,医药生物
600196,801150,医药生物
300760,801150,医药生物
300015,801150,医药生物
000538,801150,医药生物
600436,801150,医药生物
603259,801150,医药生物
300347,801150,医药生物
300122,801150,医药生物
600763,801150,医药生物
300601,801150,医药生物
603707,801150,医药生物
603882,801150,医药生物
300595,801150,医药生物
600085,801150,医药生物
603883,801150,医药生物
601398,801780,银行
601288,801780,银行
601988,801780,银行
601939,801780,银行
600036,801780,银行
601166,801780,银行
601328,801780,银行
600000,801780,银行
601818,801780,银行
601169,801780,银行
600016,801780,银行
601916,801780,银行
601009,801780,银行
601187,801780,银行
601077,801780,银行
600048,801180,房地产
001979,801180,房地产
600606,801180,房地产
000002,801180,房地产
600383,801180,房地产
000069,801180,房地产
600340,801180,房地产
600007,801180,房地产
600325,801180,房地产
600665,801180,房地产
600064,801180,房地产
600519,801120,食品饮料
000858,801120,食品饮料
600887,801120,食品饮料
603288,801120,食品饮料
000568,801120,食品饮料
002304,801120,食品饮料
000895,801120,食品饮料
600132,801120,食品饮料
603369,801120,食品饮料
600600,801120,食品饮料
603517,801120,食品饮料
002507,801120,食品饮料
600872,801120,食品饮料
002568,801120,食品饮料
300146,801120,食品饮料
300750,801730,电气设备
002594,801730,电气设备
601012,801730,电气设备
300014,801730,电气设备
601877,801730,电气设备
600438,801730,电气设备
002129,801730,电气设备
600089,801730,电气设备
300274,801730,电气设备
002074,801730,电气设备
300035,801730,电气设备
002415,801750,计算机
300059,801750,计算机
600570,801750,计算机
002230,801750,计算机
600588,801750,计算机
002410,801750,计算机
688111,801750,计算机
600536,801750,计算机
000977,801750,计算机
300454,801750,计算机
603019,801750,计算机
300253,801750,计算机
002439,801750,计算机
300496,801750,计算机
601899,801050,有色金属
603993,801050,有色金属
600111,801050,有色金属
600219,801050,有色金属
000630,801050,有色金属
000933,801050,有色金属
002466,801050,有色金属
600362,801050,有色金属
600549,801050,有色金属
002460,801050,有色金属
002340,801050,有色金属
600392,801050,有色金属
603799,801050,有色金属
000960,801050,有色金属
000878,801050,有色金属
